approve_department,approve_number,approve_date,project_name,project_id,project_type,project_company,approve_result,approve_item
"新源县发展和改革委员会,新源县发展和改革委员会","暂无文号
            			,暂无文号
            			","
            				2018-03-07
            		,
            				2018-03-07
            		",新源县“两所一中心”双回路供电工程,"
                2018-654025-44-02-001222
                ","
                核准
                ","
                国网新疆电力公司新源县供电公司
                ","不通过,不通过","县（市、区）属城市基础设施（除垃圾发电外）项目核准,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）"
自治区发展和改革委员会,新发改项目[2016]145号,"            				2016-02-18
            		",新疆文化艺术学校综合楼及购置设备,"
                2016-650102-82-01-031733
                ","
                审批
                ","
                新疆文化艺术学校
                ",通过,中央投资中等职业教育基础能力建设项目初步设计审批
"沙雅县规划部门,沙雅县地震局","gjh,122","            				2016-02-15
            		,            				2016-02-15
            		",沙雅县人行道建设项目,"
                2016-652924-48-01-151332
                ","
                审批
                ","
                沙雅县住房和城乡建设局
                ","通过,通过","核发建设项目选址意见书（仅指以划拨方式提供国有土地使用权的建设项目）,建设工程抗震设防要求的审核"
自治区发展和改革委员会,新发改项目[2016]235号,"            				2016-02-18
            		",博乐市小营盘中学综合教学楼项目,"
                2016-652701-82-01-031813
                ","
                审批
                ","
                博乐市小营盘中学综合教学楼项目
                ",通过,自治区预算内投资项目初步设计审批
自治区发展和改革委员会,"暂无文号
            			","
            				2018-03-02
            		",年产3000吨核桃仁、1000吨核桃油深加工项目,"
                2018-653102-13-03-001107
                ","
                备案
                ","
                喀什光华现代农业有限公司
                ",不通过,权限内企业投资项目备案
巴里坤县发展和改革委员会,（巴发改基础[2018]11号,"            				2018-02-28
            		",巴里坤县萨尔乔克中学学生宿舍食堂、浴室建设项目,"
                2018-652222-82-01-000620
                ","
                审批
                ","
                巴里坤哈萨克自治县教育局
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
阿勒泰市发展和改革委员会,阿市发改投资[2018]15号,"            				2018-03-15
            		",阿勒泰市南区城东10千伏一、二线新建项目,"
                2018-654301-44-01-001139
                ","
                审批
                ","
                阿勒泰市住房和城乡建设局
                ",通过,县（市、区）政府出资建设的项目可行性研究报告审批（党政机关及事业单位办公楼建设项目除外）
乌鲁木齐市发展和改革委员会,乌发改函〔2018〕115号,"            				2018-02-28
            		",丝绸之路文化展示中心,"
                2018-650121-87-01-001130
                ","
                审批
                ","
                乌鲁木齐市文化局
                ",通过,地（州、市）级政府出资的建设项目项目建议书审批（党政机关及事业单位办公楼建设项目除外）
乌鲁木齐市发展和改革委员会,"暂无文号
            			","
            				2018-02-09
            		",乌鲁木齐·碧桂园,"
                2018-650109-70-03-001154
                ","
                备案
                ","
                新疆碧桂园房地产开发有限公司
                ",不通过,地区内资项目备案
霍尔果斯市发展和改革委员会,霍市发改〔2018〕14号,"            				2018-01-15
            		",霍尔果斯人才科创园,"
                2018-654004-72-01-000407
                ","
                审批
                ","
                中国共产党霍尔果斯市委员会组织部
                ",通过,县（市、区）政府出资建设的项目可行性研究报告审批（党政机关及事业单位办公楼建设项目除外）
