approve_department,approve_number,approve_date,project_name,project_id,project_type,project_company,approve_result,approve_item 
昌吉市发展和改革委员会,昌市发改综合【2016】232号,"            				2016-12-22
            		",年产50万m3蒸压加气混凝土砌块和年产20万m3蒸压加气混凝土板材,"
                2016-652301-30-03-292734
                ","
                备案
                ","
                新疆朝阳建材有限公司
                ",通过,县（市、区）属内资项目备案
沙依巴克区发展和改革委员会,"暂无文号
            			","
            				2016-03-22
            		",德邦小区,"
                2016-650103-70-03-292760
                ","
                备案
                ","
                新疆德邦房地产开发有限公司
                ",不通过,县（市、区）属内资项目备案
水磨沟区发展和改革委员会,水经发函[2016]3号,"            				2016-03-24
            		",第77小学新建食堂项目,"
                2016-650105-82-01-292765
                ","
                审批
                ","
                乌鲁木齐市第七十七小学
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
奎屯市发展和改革委员会,奎发改投资【2015】137号,"            				2016-06-08
            		",奎屯华强废旧塑料高性能化生产项目,"
                2016-654003-42-03-292777
                ","
                备案
                ","
                奎屯华强资源利用有限公司
                ",通过,县（市、区）属内资项目备案
新市区发展和改革委员会,16101505910018,"            				2016-03-22
            		",新疆盈华富民马德里春天室内综合农贸市场,"
                2016-650104-81-03-292773
                ","
                备案
                ","
                新疆盈华富民市场管理有限公司
                ",通过,县（市、区）属内资项目备案
沙依巴克区发展和改革委员会,"暂无文号
            			","
            				2016-03-22
            		",紫金城A区,"
                2016-650103-70-03-292770
                ","
                备案
                ","
                新疆恒兴源房地产开发有限公司
                ",不通过,县（市、区）属内资项目备案
水磨沟区发展和改革委员会,水经发函[2016]1号,"            				2016-03-23
            		",乌市39小学新建食堂、值班室及大门项目,"
                2016-650105-82-01-292771
                ","
                审批
                ","
                乌鲁木齐市第三十九小学
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
水磨沟区发展和改革委员会,水经发函[2016]2号,"            				2016-03-24
            		",第77小学扩建教学楼项目,"
                2016-650105-82-01-292769
                ","
                审批
                ","
                乌鲁木齐市第七十七小学
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
天山区发展和改革委员会,1601150721024,"            				2016-04-18
            		",香悦湾商住小区,"
                2016-650102-70-03-292774
                ","
                备案
                ","
                新疆西域鸿邦房地产开发有限公司
                ",通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,160915062032,"            				2016-03-30
            		",新疆农业电子商务综合服务平台及智能门店服务项目,"
                2016-650106-64-03-292784
                ","
                备案
                ","
                新疆劳道农业科技有限公司
                ",通过,县（市、区）属内资项目备案
克拉玛依区发展和改革委员会,克区发改工【2016】5号,"            				2016-04-06
            		",克南服务区LNG/L-CNG合建加气站（东、西站）,"
                2016-650203-45-03-293390
                ","
                备案
                ","
                克拉玛依含锦能源开发有限公司
                ",通过,县（市、区）属内资项目备案
吐鲁番市高昌区发展和改革委员会,2016019,"            				2016-04-18
            		",吐鲁番振兴新宇贸易有限公司物流仓储项目,"
                2016-652101-59-03-293397
                ","
                备案
                ","
                吐鲁番振兴新宇贸易有限公司
                ",通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,1609150231039,"            				2016-04-12
            		",新疆双星彩印有限责任公司3#厂房,"
                2016-650106-23-03-293436
                ","
                备案
                ","
                新疆双星彩印有限责任公司
                ",通过,县（市、区）属内资项目备案
轮台县发展和改革委员会,轮发改发[2016]111号,"            				2016-04-26
            		",轮台拉依苏化工园区集中供热管网工程项目,"
                2016-652822-44-03-293442
                ","
                备案
                ","
                巴州正大能源有限公司
                ",通过,县（市、区）属内资项目备案
巴音郭楞州蒙古自治州发展和改革委员会,"暂无文号
            			","
            				2016-08-26
            		",巴州德福农贸有限责任公司棉花秸秆饲料颗粒加工厂,"
                2016-652801-05-01-293444
                ","
                审批
                ","
                巴州德福农贸有限责任公司棉花秸秆饲料颗粒加工厂
                ",不通过,由地（州、市）投资主管部门审批、核准、备案固定资产投资项目节能评估审查
新市区发展和改革委员会,乌高（新）经发函〔2016〕29号,"            				2016-04-14
            		",2016年高新区（新市区）城市基础设施项目建设工程纬五路（乌五公路~北京北路）市政工程,"
                2016-650104-78-01-293537
                ","
                审批
                ","
                乌鲁木齐高新投资发展集团有限公司
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
新市区发展和改革委员会,乌高（新）经发函〔2016〕31号,"            				2016-04-14
            		",2016年高新区（新市区）城市基础设施项目建设工程长春北路西一路（长春北路西一路～长春北路）市政工程,"
                2016-650104-78-01-293483
                ","
                审批
                ","
                乌鲁木齐高新投资发展集团有限公司
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
吐鲁番市高昌区发展和改革委员会,2016033,"            				2016-04-20
            		",吐鲁番三和农机农资综合市场项目,"
                2016-652101-72-03-293887
                ","
                备案
                ","
                吐鲁番三和房地产开发有限公司
                ",通过,县（市、区）属内资项目备案
吐鲁番市高昌区发展和改革委员会,2016022,"            				2016-04-18
            		",大河沿二级站仓储物流基础设施改扩建项目,"
                2016-652101-59-03-293406
                ","
                备案
                ","
                自治区棉麻公司大河沿二级站
                ",通过,县（市、区）属内资项目备案
尉犁县发展和改革委员会,201608,"            				2016-05-03
            		",达西百万蛋禽养殖项目,"
                2016-652823-03-03-293929
                ","
                备案
                ","
                尉犁县达西金徽家禽养殖有限公司
                ",通过,县（市、区）属内资项目备案
轮台县发展和改革委员会,轮发改发[2016]110号,"            				2016-04-26
            		",燃煤锅炉技术改造,"
                2016-652822-26-03-293947
                ","
                备案
                ","
                新疆天运化工有限公司
                ",通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,1609170761053,"            				2016-05-22
            		",电力安装抢修基地,"
                2016-650106-44-03-293930
                ","
                备案
                ","
                新疆新安源电力工程有限公司
                ",通过,县（市、区）属内资项目备案
库尔勒市发展和改革委员会,库发改社会[2016]143号,"            				2016-04-25
            		",库尔勒市普惠乡中心小学教学楼（二期,"
                2016-652801-82-01-293950
                ","
                审批
                ","
                库尔勒市教育局
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
自治区发展和改革委员会,新发改项目(2016)1001号,"            				2016-06-24
            		",新疆残疾人职业中专学校教学实训楼,"
                2016-652301-91-01-294057
                ","
                审批
                ","
                新疆维吾尔自治区残疾人联合会
                ",通过,自治区行政事业单位投资的公共事业类项目初步设计审批
自治区发展和改革委员会,新发改农经〔2016〕1394号,"            				2016-09-19
            		",渭干河灌区续建配套与节水改造工程库车县阿拉哈格干渠防渗改建工程（十二期）,"
                2016-652923-76-01-293979
                ","
                审批
                ","
                库车县铜场水库管理站
                ",通过,中央投资大型灌区续建配套与节水改造项目可行性研究报告审批（已列入有关专项规划的项目视同获批项目建议书）
自治区发展和改革委员会,新发改社会[2016]538号,"            				2016-05-18
            		",新疆广播电视无线发射台站基础设施建设工程二期项目,"
                2016-650102-63-01-293980
                ","
                审批
                ","
                新疆新闻出版广电局
                ",通过,广播电视基础设施建设可行性研究报告审批
新市区发展和改革委员会,"暂无文号
            			","
            				2016-05-05
            		",2016年农业产业发展项目,"
                2016-650104-78-01-294268
                ","
                审批
                ","
                乌鲁木齐高新技术产业开发区（乌鲁木齐市新市区）农牧局
                ",不通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
水磨沟区发展和改革委员会,水经发函[2016] 27号,"            				2016-05-06
            		",一号立井（A）区棚户区改造项目基础配套设施——六道湾路（东外环-苏州路高架桥下辅道）道路新建工程,"
                2016-650105-78-01-294271
                ","
                审批
                ","
                乌鲁木齐市水磨沟区建设局
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
阿勒泰地区发展和改革委员会,阿地发改农经（2016）31号,"            				2016-06-16
            		",阿勒泰市正泰农牧业开发有限公司肉羊标准化规模养殖场建设项目,"
                2016-654301-03-01-294269
                ","
                审批
                ","
                阿勒泰市正泰农牧业开发有限公司
                ",通过,中央投资肉羊标准化规模养殖场（小区）建设项目实施方案审批
英吉沙县发展和改革委员会,英发改备案【2016】11号,"            				2016-05-09
            		",英吉沙县恒义塑料制品厂年产500吨滴灌带项目,"
                2016-653123-29-03-294288
                ","
                备案
                ","
                英吉沙县恒义塑料制品厂
                ",通过,县（市、区）属内资项目备案
阿克苏市发展和改革委员会,阿市发改农经【2016】33号,"            				2016-08-25
            		",阿克苏依干其乡流泉畜禽养殖农民专业 合作社肉羊标准化规模养殖场建设项目,"
                2016-652901-03-01-294290
                ","
                审批
                ","
                阿克苏依干其乡流泉畜禽养殖农民专业合作社
                ",通过,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）
头屯河区发展和改革委员会,1609150721052,"            				2016-05-22
            		",大唐白鸟湖生活配套小区,"
                2016-650106-70-03-294291
                ","
                备案
                ","
                新疆盛唐伟业房地产开发有限公司
                ",通过,县（市、区）属内资项目备案
自治区发展和改革委员会,新发改社会[2016]808号,"            				2016-05-23
            		",博州赛里木湖风景名胜区保护利用设施建设项目,"
                2016-652701-87-01-294293
                ","
                审批
                ","
                博州赛里木湖风景名胜区管理委员会
                ",通过,国家文化和自然遗产保护设施项目可行性研究报告审批
新源县发展和改革委员会,"暂无文号
            			","
            				2016-05-27
            		",新源县博天粮油购销有限责任公司,"
                2016-654025-59-03-294300
                ","
                备案
                ","
                新源县博天粮油购销有限责任公司
                ",不通过,县（市、区）属内资项目备案
阿克苏市发展和改革委员会,阿市发改农经【2016】33号,"            				2016-08-25
            		",阿克苏瓦力斯科技养殖农民专业合作社肉羊标准化规模养殖场建设项目,"
                2016-652901-03-01-294299
                ","
                审批
                ","
                阿克苏瓦力斯科技养殖农民专业合作
                ",通过,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）
水磨沟区发展和改革委员会,1603150701010,"            				2016-05-06
            		",馨都1号公馆,"
                2016-650105-70-03-294298
                ","
                备案
                ","
                新疆建鑫房地产开发有限公司
                ",通过,县（市、区）属内资项目备案
"阿克苏地区发展和改革委员会,阿克苏地区发展和改革委员会","阿地发改节能登[2016]038号,阿地发改投资[2016]94号","            				2016-05-20
            		,            				2016-05-27
            		",沙雅县2016年村民服务中心建设项目,"
                2016-652924-93-01-294302
                ","
                审批
                ","
                中共沙雅县委组织部
                ","通过,通过","由地（州、市）投资主管部门审批、核准、备案固定资产投资项目节能评估审查,中央投资地（州）属社会事业项目可行性研究报告（代项目建议书）审批"
阿克苏市发展和改革委员会,阿市发改农经【2016】33号,"            				2016-08-25
            		",阿克苏市库迪热提家禽牲畜养殖农民专业合作社肉羊标准化规模养殖场建设项目,"
                2016-652901-03-01-294305
                ","
                审批
                ","
                阿克苏库迪热提家禽牲畜养殖农民专业合作社
                ",通过,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）
阿克苏市发展和改革委员会,阿市发改农经（2016）33,"            				2016-08-25
            		",阿克苏市沙达开地畜禽养殖农民专业合作社肉羊标准化规模养殖场建设项目,"
                2016-652901-03-01-294307
                ","
                审批
                ","
                阿克苏市沙达开地畜禽养殖农民专业合作社
                ",通过,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）
阿克苏市发展和改革委员会,阿市发改农经（2016）33号,"            				2016-08-25
            		",阿克苏吾米德农牧草畜农民专业合作社肉羊标准化规模养殖场建设项目,"
                2016-652901-03-01-294309
                ","
                审批
                ","
                阿克苏吾米德农牧草畜农民专业合作社
                ",通过,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）
库尔勒市发展和改革委员会,库发改【2016】投资141号,"            				2016-05-09
            		",新疆军区援建喀尔巴格村项目,"
                2016-652801-47-03-294308
                ","
                备案
                ","
                库尔勒市英下乡人民政府
                ",通过,县（市、区）属内资项目备案
"自治区发展和改革委员会,自治区发展和改革委员会","新发改节能登【2016】181号,新发改农经【2016】919】号","            				2016-05-31
            		,            				2016-06-23
            		",巩留县阿克加孜克水库,"
                2016-654024-76-01-294310
                ","
                审批
                ","
                巩留县水利管理站
                ","通过,通过","固定资产投资项目节能评估和审查,中央及自治区投资小型水库可行性研究报告审批"
温泉县发展和改革委员会, 温发改备字〔2016〕10号,"            				2016-05-06
            		",新疆安格香料有限公司香紫苏连续蒸馏萃取物加工项目,"
                2016-652723-69-01-294322
                ","
                审批
                ","
                新疆安格香料有限公司
                ",通过,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）
新市区发展和改革委员会,"暂无文号
            			","
            				2016-05-09
            		",祛寒除湿散建设生产基地（GMP）项目,"
                2016-650104-27-03-294272
                ","
                备案
                ","
                新疆金世康药业有限公司
                ",不通过,县（市、区）属内资项目备案
自治区发展和改革委员会,新发改社会[2016]807号,"            				2016-05-23
            		",新疆天山天池风景名胜区保护利用设施建设项目,"
                2016-652302-87-01-294294
                ","
                审批
                ","
                新疆天池管理委员会
                ",通过,国家文化和自然遗产保护设施项目可行性研究报告审批
克孜勒苏柯尔克孜自治州发展和改革委员会,克发改字[2016]140号,"            				2016-05-26
            		",克州卡拉贝利电站110千伏送出工程,"
                2016-653024-44-02-294296
                ","
                核准
                ","
                国网新疆电力公司疆南供电公司
                ",通过,非跨地(州)110千伏电网项目核准
自治区发展和改革委员会,"暂无文号
            			","
            				2016-05-23
            		",新疆巴楚胡杨林国家森林公园保护利用设施建设项目,"
                2016-653130-96-01-294232
                ","
                审批
                ","
                巴楚县林业局
                ",不通过,国家文化和自然遗产保护设施项目可行性研究报告审批
"阿克苏地区发展和改革委员会,阿克苏地区发展和改革委员会","阿地发改节能登[2016]034号,阿地发改投资[2016]92号","            				2016-05-10
            		,            				2016-05-27
            		",乌什县2016年村民服务中心建设项目,"
                2016-652927-93-01-294245
                ","
                审批
                ","
                中共乌什县委组织部
                ","通过,通过","由地（州、市）投资主管部门审批、核准、备案固定资产投资项目节能评估审查,中央投资地（州）属社会事业项目可行性研究报告（代项目建议书）审批"
自治区发展和改革委员会,新发改社会[2016]830号,"            				2016-05-31
            		",新疆师范高等专科学校学生食堂建设项目,"
                2016-650103-82-01-294257
                ","
                审批
                ","
                新疆师范高等专科学校 
                ",通过,中央投资普通高校建设项目可行性研究报告审批
自治区发展和改革委员会,新发改社会[2016]829号,"            				2016-05-31
            		",新疆师范高等专科学校2号学生宿舍楼,"
                2016-650103-82-01-294253
                ","
                审批
                ","
                新疆师范高等专科学校
                ",通过,中央投资普通高校建设项目可行性研究报告审批
"阿克苏地区发展和改革委员会,阿克苏地区发展和改革委员会","阿地发改节能登[2016]002号,阿地发改投资[2016]93号","            				2016-05-05
            		,            				2016-05-27
            		",温宿县2016年村民服务中心建设项目,"
                2016-652922-93-01-294247
                ","
                审批
                ","
                中共温宿县委组织部
                ","通过,通过","由地（州、市）投资主管部门审批、核准、备案固定资产投资项目节能评估审查,中央投资地（州）属社会事业项目可行性研究报告（代项目建议书）审批"
"阿克苏地区发展和改革委员会,阿克苏地区发展和改革委员会","阿地发改节能登[2016]039号,阿地发改投资[2016]91号","            				2016-05-18
            		,            				2016-05-27
            		",阿克苏地区柯坪县2016年村民服务中心,"
                2016-652929-84-01-294263
                ","
                审批
                ","
                阿克苏地区柯坪县委组织部
                ","通过,通过","由地（州、市）投资主管部门审批、核准、备案固定资产投资项目节能评估审查,中央投资地（州）属社会事业项目可行性研究报告（代项目建议书）审批"
新市区发展和改革委员会,乌高（新）经发函 [2016] 57号,"            				2016-05-06
            		",2016年青格达湖乡农村基础设施建设项目,"
                2016-650104-78-01-294264
                ","
                审批
                ","
                乌鲁木齐市高新技术产业开发区（乌鲁木齐市新市区）农牧局
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
新市区发展和改革委员会,乌高（新）经发函 [2016] 59号,"            				2016-05-06
            		",2016年六十户乡农村基础设施建设项目,"
                2016-650104-78-01-294262
                ","
                审批
                ","
                乌鲁木齐高新技术产业开发区（乌鲁木齐市新市区）农牧局
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
新市区发展和改革委员会,备案证 16101105610034,"            				2016-05-06
            		",乌鲁木齐国际机场快速过站候机室,"
                2016-650104-56-03-294266
                ","
                备案
                ","
                新疆机场（集团）有限责任公司
                ",通过,县（市、区）属内资项目备案
"阿克苏地区发展和改革委员会,阿克苏地区发展和改革委员会","阿地发改节能登[2016]023号,阿地发改投资[2016]95号","            				2016-05-09
            		,            				2016-05-27
            		",阿克苏2016年村民服务中心建设项目,"
                2016-652901-84-01-294267
                ","
                审批
                ","
                中共阿克苏市委组织部
                ","通过,通过","由地（州、市）投资主管部门审批、核准、备案固定资产投资项目节能评估审查,中央投资地（州）属社会事业项目可行性研究报告（代项目建议书）审批"
温宿县发展和改革委员会,温发改农经[2016]65号,"            				2016-05-05
            		",托甫汗管理区新村安居富民工程建设项目,"
                2016-652922-47-01-294083
                ","
                审批
                ","
                温宿县托甫汗管理区
                ",通过,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）
尼勒克县发展和改革委员会,"暂无文号
            			","
            				2016-05-27
            		",伊犁布隆圣泉饮品有限公司优质天然水资源综合利用项目,"
                2016-654028-05-03-294173
                ","
                备案
                ","
                伊犁布隆圣泉饮品有限公司
                ",不通过,县（市、区）属内资项目备案
新市区发展和改革委员会,乌高（新）经发函 [2016] 58号,"            				2016-05-06
            		",2016年安宁渠镇农村基础设施建设项目,"
                2016-650104-78-01-294175
                ","
                审批
                ","
                乌鲁木齐高新技术产业开发区（乌鲁木齐市新市区）农牧局
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
阿克苏地区发展和改革委员会,阿地发改农（2016）276号,"            				2016-11-09
            		",沙雅县利农畜牧业发展有限公司肉羊标准化规模养殖小区建设项目,"
                2016-652924-03-01-294165
                ","
                审批
                ","
                沙雅县利农畜牧业发展有限公司
                ",通过,中央投资肉羊标准化规模养殖场（小区）建设项目实施方案审批
阿克苏地区发展和改革委员会,阿地发改农（2016）318号,"            				2016-11-08
            		",沙雅县红旗镇亚森畜牧养殖农民专业合作社肉羊标准化养殖小区建设项目,"
                2016-652924-03-01-294168
                ","
                审批
                ","
                沙雅县红旗镇亚森畜牧养殖专业合作社
                ",通过,中央投资肉羊标准化规模养殖场（小区）建设项目实施方案审批
拜城县发展和改革委员会,,"            				2016-05-04
            		",赛里木镇英巴格村（13村）村民服务中心建设项目,"
                2016-652926-82-01-294190
                ","
                审批
                ","
                中共拜城县委组织部
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
阿勒泰地区发展和改革委员会,阿地发改农经（2016）36号,"            				2016-06-16
            		",阿勒泰市喀拉希力克乡北方牲畜养殖专业合作社肉羊标准化规模养殖场建设项目,"
                2016-654301-03-01-294215
                ","
                审批
                ","
                阿勒泰市喀拉希力克乡北方牲畜养殖专业合作社
                ",通过,中央投资肉羊标准化规模养殖场（小区）建设项目实施方案审批
拜城县发展和改革委员会,"暂无文号
            			","
            				2016-05-05
            		",亚吐尔乡库木买里（1)村等3个村民服务中心建设项目,"
                2016-652926-82-01-294224
                ","
                审批
                ","
                中共拜城县委组织部
                ",不通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
吐鲁番市高昌区发展和改革委员会,2016038,"            				2016-05-09
            		",吐鲁番新捷能源有限公司职工宿舍楼项目,"
                2016-652101-45-03-294230
                ","
                备案
                ","
                吐鲁番新捷能源有限公司
                ",通过,县（市、区）属内资项目备案
新市区发展和改革委员会,备案证 16101603940030,"            				2016-04-27
            		",新疆众和高精电子铝箔电极箔智能工厂集成应用,"
                2016-650104-32-03-294009
                ","
                备案
                ","
                新疆众和股份有限公司
                ",通过,县（市、区）属内资项目备案
阿克苏地区发展和改革委员会,阿地发改农（2016）278号,"            				2016-11-09
            		",沙雅县克尔钦畜牧养殖专业合作社肉羊标准化规模养殖场建设项 目,"
                2016-652924-03-01-294221
                ","
                审批
                ","
                沙雅县克尔钦畜牧养殖专业合作社
                ",通过,中央投资肉羊标准化规模养殖场（小区）建设项目实施方案审批
鄯善县发展和改革委员会,,"            				2016-05-12
            		",沙漠水稻种植技术推广及智慧农业研发,"
                2016-652122-01-03-294025
                ","
                备案
                ","
                鄯善工业园区鄯农农业科技有限公司
                ",通过,县（市、区）属内资项目备案
库车县发展和改革委员会,"暂无文号
            			","
            				2016-05-04
            		",库车东升加气站新建项目,"
                2016-652923-45-03-293931
                ","
                备案
                ","
                中石油新疆销售有限公司阿克苏分公司
                ",不通过,县（市、区）属内资项目备案
库尔勒市发展和改革委员会,库发改【2016】153号,"            				2016-05-04
            		",新疆巴州阿塔曼地毯编织厂,"
                2016-652801-17-03-294017
                ","
                备案
                ","
                巴州阿塔曼地毯编织农民专业合作社
                ",通过,县（市、区）属内资项目备案
吐鲁番市高昌区发展和改革委员会,2016036,"            				2016-04-27
            		",吐鲁番葡萄产业园啤酒饮品基地建设项目,"
                2016-652101-15-03-294032
                ","
                备案
                ","
                新疆兰港饮品有限公司
                ",通过,县（市、区）属内资项目备案
自治区发展和改革委员会,新发改社会[2016]539号,"            				2016-05-18
            		",新疆少数民族新闻出版东风工程二期民文数字出版设备购置项目,"
                2016-650102-85-01-293988
                ","
                审批
                ","
                新疆新闻出版广电局
                ",通过,新闻出版基础设施建设可行性研究报告审批
新市区发展和改革委员会,"暂无文号
            			","
            				2016-05-27
            		",500KW分布式光伏并网电站示范项目,"
                2016-650104-38-03-294043
                ","
                备案
                ","
                乌鲁木齐祥宇时代新能源科技有限公司
                ",不通过,县（市、区）属内资项目备案
伊犁哈萨克自治州发展和改革委员会,"暂无文号
            			","
            				2017-03-12
            		",昭苏县阿克达拉乡苏鲁塞村赛沙哈萨克羊养殖农民专业合作社肉羊标准化养殖场建设项目,"
                2016-654026-03-03-294038
                ","
                备案
                ","
                昭苏县阿克达拉乡苏鲁塞村赛沙哈萨克羊养殖农民专业合作社肉羊标准化养殖场建设项目
                ",不通过,地区内资项目备案
克拉玛依区发展和改革委员会,克区发改发【2016】10号,"            				2016-10-25
            		",克拉玛依国际商贸城,"
                2016-650203-70-03-293993
                ","
                备案
                ","
                新疆鑫茂房地产开发有限公司
                ",通过,县（市、区）属内资项目备案
吐鲁番市高昌区发展和改革委员会,高区发改项目〔2017〕87号,"            				2017-05-24
            		",吐鲁番市高昌区美丽乡村示范村建设项目,"
                2016-652101-01-03-293982
                ","
                备案
                ","
                吐鲁番昌河文化旅游投资有限公司
                ",通过,县（市、区）属内资项目备案
"富蕴县发展和改革委员会,阿勒泰地区发展和改革委员会","富发改基字【2016】66号,阿地发改农经（2016）43号","            				2016-04-28
            		,            				2016-06-16
            		",富蕴县喀拉克镇叶山山羊培育及牲畜养殖专业合作社肉羊标准化规模养殖场（小区）建设项目,"
                2016-654322-03-01-294056
                ","
                审批
                ","
                富蕴县喀拉克镇叶山山羊培育及牲畜养殖专业合作社
                ","通过,通过","由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）,中央投资肉羊标准化规模养殖场（小区）建设项目实施方案审批"
自治区发展和改革委员会,新发改社会[2016]540号,"            				2016-05-18
            		",新疆少数民族新闻出版东风工程二期县级新华书店流动售（送）书车购置项目,"
                2016-650102-85-01-293989
                ","
                审批
                ","
                新疆新闻出版广电局
                ",通过,新闻出版基础设施建设可行性研究报告审批
新市区发展和改革委员会,备案证-16101507220038,"            				2016-05-13
            		",中央厨房及快餐连锁网店建设项目,"
                2016-650104-14-03-293997
                ","
                备案
                ","
                新疆四十九餐饮管理有限公司
                ",通过,县（市、区）属内资项目备案
自治区发展和改革委员会,新发改项目[2016]800号,"            				2016-05-25
            		",温宿县维吾尔医医院业务综合楼,"
                2016-652922-83-01-294002
                ","
                审批
                ","
                温宿县维吾尔医医院业务综合楼
                ",通过,中央投资县级医院项目初步设计审批
尉犁县发展和改革委员会,201609,"            				2016-05-03
            		",尉犁县农村信用合作联社亨通信用社装修,"
                2016-652823-50-03-293999
                ","
                备案
                ","
                尉犁县农村信用合作联社
                ",通过,县（市、区）属内资项目备案
"富蕴县发展和改革委员会,阿勒泰地区发展和改革委员会","富发改基字【2016】66号,阿地发改农经（2016）43号","            				2016-04-28
            		,            				2016-06-16
            		",富蕴县喀拉克镇叶山山羊培育及牲畜养殖专业合作社肉羊标准化规模养殖场（小区）建设项目,"
                2016-654322-03-01-294056
                ","
                审批
                ","
                富蕴县喀拉克镇叶山山羊培育及牲畜养殖专业合作社
                ","通过,通过","由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）,中央投资肉羊标准化规模养殖场（小区）建设项目实施方案审批"
吐鲁番市高昌区发展和改革委员会,2016035,"            				2016-05-09
            		",吐鲁番市新城路巴依大院项目,"
                2016-652101-72-03-294074
                ","
                备案
                ","
                高昌区巴依大院休闲驿站
                ",通过,县（市、区）属内资项目备案
"博尔塔拉蒙古自治州规划部门,博尔塔拉蒙古自治州发展和改革委员会","预审意见,批复","            				2016-08-27
            		,            				2016-08-29
            		",博州温泉县双语幼儿园项目,"
                2016-652723-82-01-294005
                ","
                审批
                ","
                温泉县教育局
                ","通过,通过","核发建设项目选址意见书(仅指以划拨方式提供国有土地使用权的建设项目),中央投资地（州）属社会事业项目可行性研究报告（代项目建议书）审批"
"博尔塔拉蒙古自治州规划部门,博尔塔拉蒙古自治州发展和改革委员会","预审意见,批复","            				2016-08-27
            		,            				2016-08-29
            		",博州温泉县双语幼儿园项目,"
                2016-652723-82-01-294005
                ","
                审批
                ","
                温泉县教育局
                ","通过,通过","核发建设项目选址意见书(仅指以划拨方式提供国有土地使用权的建设项目),中央投资地（州）属社会事业项目可行性研究报告（代项目建议书）审批"
温宿县发展和改革委员会,温发改投资【2016】77,"            				2017-08-02
            		",温宿县温宿镇民生小区菜市场扩建,"
                2016-652922-52-01-294078
                ","
                审批
                ","
                温宿县温宿镇人民政府
                ",通过,由县（市、区）及县投资主管行政主管部门审批、核准、备案固定资产投资项目节能评估审查（市、州直行政主管部门及跨县、市项目除外）
白碱滩区发展和改革委员会,"暂无文号
            			","
            				2017-06-20
            		",博达聚能分公司新建库房,"
                2016-650204-47-03-294092
                ","
                备案
                ","
                克拉玛依博达工贸有限责任公司
                ",不通过,县（市、区）属内资项目备案
吐鲁番市高昌区发展和改革委员会,2016037,"            				2016-05-10
            		",黄金果业葡萄酒庄及饮品项目,"
                2016-652101-14-03-294015
                ","
                备案
                ","
                新疆黄金果业股份有限公司
                ",通过,县（市、区）属内资项目备案
温宿县发展和改革委员会,2016014,"            				2016-05-09
            		",5000吨红枣核桃杏干初深加工及生产加工阿胶糕、雪梨膏、食用黄明胶建设项目,"
                2016-652922-05-03-294052
                ","
                备案
                ","
                阿克苏疆龙果业专业合作社
                ",通过,县（市、区）属内资项目备案
温泉县发展和改革委员会, 温发改备字〔2016〕6号,"            				2016-08-19
            		",温泉县天泉度假村建设项目,"
                2016-652723-61-03-294137
                ","
                备案
                ","
                温泉县凯越酒店有限公司
                ",通过,县（市、区）属内资项目备案
