title,title2,date,url,content
中石油泰兴-芙蓉天然气管道等项目通过核准,,2013-2-18,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B1dc88f7e-fa64-4975-b62b-4f9db51e84da%7D,　　2013年2月，国家发展改革委核准了中国石油天然气集团公司泰兴-芙蓉天然气管道项目和中国中化集团公司巴西佩雷格里诺油田勘探开发项目。
中国海洋石油总公司尼日利亚OML130区块伊吉纳油田开发项目通过核准,,2013-4-23,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7Be426658c-a850-49b7-a5a2-f45a7a6238e8%7D,　　2013年4月，国家发展改革委核准了中国海洋石油总公司尼日利亚OML130区块伊吉纳油田开发项目。
中石油投资巴西盐下里贝拉项目合作通过核准,,2013-11-20,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7Bf5a7615d-4ee1-473b-a5cd-f3cdc813ce78%7D,"　　2013年11月，国家发展改革委核准中国石油天然气集团公司投资巴西盐下里贝拉项目。,
"
中石油蒙古塔木察格油田勘探开发项目通过核准,,2013-8-27,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B1f89df17-c240-49a0-9019-12b47beb6a5c%7D,　　2013年8月，国家发展改革委核准中国石油天然气集团公司所属大庆油田有限责任公司开展蒙古塔木察格油田勘探开发项目。
,"国家发展改革委关于新疆,
大型煤炭基地建设规划的批复",2014-3-6,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7Beec291e5-1c38-490e-b131-2fe9b55d62a9%7D,"发改能源[2014]387号,新疆自治区发展改革委：,
　　你委报来《关于审批新疆大型煤炭基地建设规划的请示》（新发改能源〔2010〕3088号）收悉。经研究，现批复如下：,
　　一、新疆大型煤炭基地是国家第十四个大型煤炭基地，是我国煤炭生产力西移的重要承接区，已基本具备形成国家重要煤炭基地的条件。为推进资源优势向经济优势转化，加快新疆经济社会发展，原则同意以高起点、高水平、高效益的原则建设新疆大型煤炭基地，走资源开发可持续、生态环境可持续的发展道路。,
　　二、新疆大型煤炭基地开发，要以邓小平理论、“三个代表”重要思想、科学发展观为指导，着力推动能源生产和消费革命，以资源深度高效开发为主线，统筹考虑市场需求、水资源、生态环境、基础设施等因素，优化煤炭资源开发与转化布局，合理安排煤炭开发与转化强度，实现煤炭资源有序勘查开发，促进新疆跨越式发展和长治久安。,
　　三、新疆大型煤炭基地由吐哈、准噶尔、伊犁、库拜四大区组成，主要包括36个矿区。其中，吐哈区包括大南湖、淖毛湖、黑山、克布尔碱、三道岭、巴里坤、沙尔湖、三塘湖、艾丁湖等9个矿区；准噶尔区包括五彩湾、大井、西黑山、硫磺沟、昌吉白杨河、塔城白杨河、和什托洛盖、阜康、艾维尔沟、四棵树、沙湾、玛纳斯塔西河、将军庙、老君庙、喀木斯特、乌鲁木齐、水溪沟等17个矿区；伊犁区包括伊宁、尼勒克、昭苏3个矿区；库拜区包括俄霍布拉克、阿艾、拜城、塔什店、布雅、阳霞、喀拉吐孜等7个矿区。截至2012年底，基地内保有查明资源储量3124亿吨。,
　　四、新疆大型煤炭基地吐哈区以疆煤外运和疆电外送为主，近期重点开发三道岭、淖毛湖、巴里坤、大南湖、沙尔湖、三塘湖矿区；准噶尔区以发展煤电、煤化工示范项目为主，优化布局大型工业园区，参与疆煤外运和疆电外送，配套开发五彩湾、大井、西黑山、昌吉白杨河、玛纳斯塔西河、喀木斯特、塔城白杨河矿区；伊犁区以发展煤化工示范项目、煤电为主，实施煤炭就地转化，重点开发伊宁矿区；其他矿区限制开发规模，主要以满足当地发电、城市供热、工业生产用煤和居民生活用煤为主。近期基地内煤炭主要供应疆内和甘肃等邻近省（区、市），中长期供应川渝和中部地区。基地煤炭产量根据疆内市场需求和外调规模确定。,
　　五、基地内煤炭资源普查和必要的详查，由国家出资完成。在此基础上，组织编制矿区总体规划，整合分散的矿业权，规范勘查开发秩序，促进煤炭资源合理有序开发。围绕重点开发矿区及近期建设项目开展煤炭资源勘探，满足基地开发需要。做好煤层气勘查和评价工作，加快推进煤层气（煤矿瓦斯）抽采利用示范工程建设。,
　　六、要按照一个矿区原则上由一个主体开发的要求，大力推进煤炭资源整合和煤矿企业兼并重组，淘汰落后产能，培育大型煤炭企业集团，实现煤炭资源的集约化、规模化开发。基地内已经存在的小煤矿不再配置资源，通过制定实施资源整合和兼并重组规划，推进小煤矿的资源整合、兼并重组和联合改造；对非法生产煤矿及不符合规划、安全无保障、布局不合理、浪费资源、破坏环境的小煤矿要依法予以关闭。,
　　七、要做好基地内煤炭开发与疆内外煤炭市场、煤炭转化项目的衔接，合理安排煤矿项目建设时序，优先建设大型、特大型露天煤矿。煤矿项目要采用先进采煤工艺和技术装备，提高采煤机械化水平、煤矿回采率和劳动效率。严格实行项目法人责任制、招标投标制、工程监理制和合同管理制，确保工程质量。新建煤矿必须配套建设相应规模的选煤厂。转化项目要按照“园区化、集约化、循环化、现代化、专业化”的原则有序推进，防止一哄而上。,
　　八、加快基地内运输通道建设，完善煤炭集疏运系统，做好矿区铁路与煤炭外运通道的衔接。矿区辅助、附属设施要统一规划、集中布置，生活服务设施尽量依托社会。铁路、公路、工业园区、火电项目、电力通道、油气管道等设施建设应当避免压覆煤炭资源。,
　　九、统筹优化水资源配置，加强水利工程建设，实行最严格水资源管理制度，进一步落实基地建设供水水源和水量。要依据生态环境承载能力和水资源支撑条件，合理确定建设项目及规模。建设项目要采用先进节能、节水技术。,
　　十、加强安全生产监督管理，做好煤矿瓦斯、煤层自燃等重大灾害防治工作，有效防范重特大事故。实施露天矿边坡稳定性监测，防止地质灾害的发生。加强职业危害防治，改善井下作业环境，提高劳动保护用品质量和标准，全面提升职业健康保障水平。,
　　十一、加强矿区生态环境保护，落实环境保护“三同时”制度。要加大生态环境监管力度，处理好煤炭开发与环境保护的关系，做好矿区绿化、生产生活污染物处理、资源综合利用、地质灾害防治、土地复垦和采煤沉陷区治理，做到开发一片、复垦一片，塌陷一片、绿化一片，实施煤田火区综合治理，建设一批生态文明示范矿区。,
　　十二、基地内新建、改扩建煤矿项目必须纳入国家煤炭工业发展规划。要依据批复的煤炭矿区总体规划适时安排煤矿项目开展前期工作和核准。严格执行国家项目核准程序，清理整顿违规项目。做好现有煤矿改扩建、升级改造与新建煤矿产能的衔接，保障煤炭供需平衡。由你区核准的煤矿项目，要严格把关，吐哈、准东、伊犁三大区内原则上停止核准新建中小型煤矿项目。,
　　十三、你委要加强规划实施情况的跟踪分析，适时组织开展规划评估，做好与国家能源发展规划和相关专项规划的衔接。,
国家发展改革委,
2014年3月6日,
"
金沙江苏洼龙水电站通过核准,,2015-11-5,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B5fbf3494-1ee0-437f-a125-be0f11b009aa%7D,2015年11月，国家发展改革委核准金沙江苏洼龙水电站。电站安装4台30万千瓦混流式水轮发电机组，总装机容量120万千瓦，年均发电量54.26亿千瓦时。
,"国家发展改革委办公厅关于做好,
国家大面积停电事件应急预案,
贯彻落实工作的通知",2016-1-26,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B664cce41-1c04-478c-911e-8ac5ffe54313%7D,"发改办能源〔2016〕201号,各省、自治区、直辖市人民政府办公厅，国家能源局各派出机构，国家电网公司、南方电网公司，华能、大唐、华电、国电、国电投集团公司，内蒙古电力公司，各有关单位：,
　　《国家大面积停电事件应急预案》（国办函〔2015〕134号，以下简称《预案》）已于2015年11月由国务院办公厅发布实施。为扎实做好《预案》的贯彻落实，现就有关工作提出如下要求。,
　　,国家大面积停电事件应急预案，是各级政府电力突发事件处置应对的行动计划，是政府和社会由常态向非常态转换的预先安排，是相关行业领域进行应急准备的工作纲要。《预案》的颁布实施，对于健全大面积停电事件应对机制，规范工作，提高应对效率，最大程度减少损失，维护国家安全和社会稳定具有十分重要的意义。各单位要高度重视，切实加强组织领导，扎实有效地做好《预案》的贯彻落实工作。,
　　,国家能源局负责大面积停电事件应对的指导协调和组织管理工作。县级以上人民政府是本行政区域内大面积停电事件应急响应和处置的责任主体，负责指挥、协调本行政区域内大面积停电事件应对工作；要结合实际，明确相应组织指挥机构，明确牵头单位和成员单位以及相应职责，建立健全应急联动机制。地方人民政府电力运行主管部门、国家能源局派出机构按《预案》规定职责负责大面积停电事件的预警信息管理和信息报告工作。电力企业负责大面积停电事件监测、风险分析及信息报告，负责电网抢修恢复和应急供电保障等工作。,
　　,各单位要贯彻落实国务院办公厅《突发事件应急预案管理办法》，将本地区本单位大面积停电事件应急预案列入专项预案编修计划，在风险评估和资源调查基础上，组织开展预案制修订工作。省级人民政府预案要衔接国家预案，重点明确大面积停电事件的组织指挥机制、信息报告、响应及行动、人员物资保障及调动程序，明确地市级人民政府职责以及电力企业、重要电力用户职责。电力企业预案要衔接相关政府预案，重点明确和落实监测预警、信息报告和电网抢修恢复、应急供电保障等各项措施。省级人民政府、中央企业总部大面积停电事件应急预案要按规定向国家能源局备案，力争2016年6月底前完成。,
　　,各单位要加强大面积停电事件应急预案的宣传教育，特别要注重对基层单位和社会公众的宣传教育，使相关单位和个人了解掌握自身所涉及预案的相关内容，增强应急意识，提高自救互救能力和应急处置能力。要强化本级预案所涉及的指挥机构、工作组成员、抢修队伍等人员培训，落实岗位职责和具体要求。要全面推进预案应急演练，建立长效机制，定期组织、广泛开展演练活动，切实提高预案的实效性、适用性和可操作性。新修编的大面积停电事件应急预案应组织演练检验。,
　　,国家能源局要强化对省级人民政府和电力企业的工作指导检查和信息通报力度，开展调查研究，完善制度措施，及时解决突出问题。国家能源局派出机构要按照统一部署，强化电力企业应急工作的监管，坚决防范大面积停电事件发生；加强工作协调和技术支持，配合地方人民政府完成预案编修、应急演练和教育培训等任务，促进全社会电力应急能力不断提高，共同维护国家安全和社会稳定。各单位工作中遇到的问题及有关情况要及时向国家发展改革委和国家能源局反映。,国家发展改革委办公厅,
2016年1月26日,
"
金沙江叶巴滩水电站通过核准,,2016-11-10,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7Bf97fbf1e-1258-4943-ac3f-1eac50caecda%7D,　　2016年11月，国家发展改革委核准金沙江叶巴滩水电站。电站安装4台51万千瓦和1台20万千瓦混流式水轮发电机组，总装机容量224万千瓦，年均发电量91.6亿千瓦时（梯级联合运行年均发电量102.05亿千瓦时），总投资333.6亿元。
,"国家发展改革委印发,
《关于发展煤电联营的指导意见》的通知",2016-4-17,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B3aedd3f6-1791-4464-84bf-54ed1116ca18%7D,"发改能源〔2016〕857号,各省（自治区、直辖市）及计划单列市、新疆生产建设兵团发展改革委（能源局）、经信委（工信委、工信厅），国家电网公司、南方电网公司、华能、大唐、华电、国电、国电投集团公司，神华集团、中煤集团、国投公司、华润集团，中国国际工程咨询公司、电力规划设计总院，中国电力企业联合会，中国煤炭工业协会，有关电力、煤炭企业：,
　　为加快调整能源结构，积极理顺煤电关系，促进煤炭、电力行业协同发展，提高能源安全保障水平，国家发展改革委制定了《关于发展煤电联营的指导意见》，现印发你们，请按照执行。,
　　特此通知。,　　附件：关于发展煤电联营的指导意见,国家发展改革委,
2016年4月17日"
,"中华人民共和国国家发展和改革委员会,
中华人民共和国公安部,
中华人民共和国环境保护部,
中华人民共和国商务部,
国务院国有资产监督管理委员会,
国家工商行政管理总局,
国家质量监督检验检疫总局,
国家能源局,
公告",2016-12-20,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7Bec0ad332-52d1-43ed-87f5-d03f694bfde7%7D,"　　为贯彻落实《国务院关于印发大气污染防治行动计划的通知》（国发〔2013〕37号）和国务院第90次常务会议有关要求和部署，应对严峻的大气污染形势，加快推进成品油质量升级，改善空气质量，现将有关事项公告如下：,
　　,　　2017年1月1日起，全国全面供应符合第五阶段国家标准（以下简称国Ⅴ标准）的车用汽油（含E10乙醇汽油）、车用柴油（含B5生物柴油），同时停止国内销售低于国Ⅴ标准车用汽油（含E10乙醇汽油）、车用柴油（含B5生物柴油）。,
　　,　　成品油生产、销售企业按照现行国家标准进一步加强油品质量管理和控制，保障清洁油品市场供应。,
　,　　加油站（点）按照相关法规和标准要求，明确标注所售汽油、柴油产品名称、牌号和等级（如：92号汽油（V），0号车用柴油（V）等），以便于消费者选择、政府监管和社会监督。,
　　,　　国家和地方有关职能部门加强成品油质量监督检查，依法严厉查处生产、销售不合格油品，非法生产、销售油品，非法流动加油罐车等违法违规行为，确保成品油质量升级取得实效，促进成品油市场健康有序发展。,
　　特此公告。,国家发展改革委,
公　　安　　部,
环 境 保 护 部,
商　　务　　部,
国　　资　　委,
工　商　总　局,
质　检　总　局,
国 家 能 源 局,
2016年12月20日,
"
,"国家发展改革委关于新疆大南湖矿区西区二号,
露天煤矿一期工程项目核准的批复",2018-3-1,http://zfxxgk.ndrc.gov.cn/PublicItemView.aspx?ItemID=%7B1647e969-89bf-4f79-ae6b-1efca56c5f93%7D,"发改能源〔2018〕366号,新疆维吾尔自治区发展改革委，国家能源投资集团有限责任公司：,
　　报来《关于申请核准国网能源哈密煤电有限公司大南湖矿区西区二号煤矿一期工程项目的请示》（新发改能源〔2017〕1630号）、《关于国网能源哈密煤电有限公司大南湖矿区西区二号露天煤矿一期项目核准的请示》（国家能源办〔2017〕56号）及相关材料收悉。经研究，现就项目核准事项批复如下。 ,
　　一、为推进新疆大型煤炭基地建设，保障能源稳定供应，优化煤炭产业结构，促进煤电一体化发展，同意实施煤炭产能置换，建设大南湖矿区西区二号露天煤矿一期工程项目。,
　　项目单位为国网能源哈密煤电有限公司。,
　　二、项目建设地点位于新疆维吾尔自治区哈密市境内。,
　　三、大南湖西区二号露天煤矿一期工程建设规模600万吨/年，配套建设选煤厂。工业场地位于露天矿东北侧、排土场北侧区域。剥离采用单斗—卡车工艺，采煤采用液压挖掘机/露天采矿机—卡车—胶带输送机半连续工艺。选煤采用智能干选工艺。双回路电源分别引自神华国能哈密电厂10/35千伏专用变压器。,
　　四、项目一期工程总投资25.17亿元（不含矿业权费用），其中，资本金7.56亿元，占总投资的30%，由项目单位以企业自有资金出资；资本金以外的17.61亿元，申请银行贷款解决。,
　　五、项目单位要从严控制建设用地规模，做到节约集约用地，不得超标准用地；要采取节能措施，选用节能设备，强化节能管理，各项能耗指标必须达到规定标准。,
　　六、项目建设要认真落实环境保护措施，严格执行环境保护设施与主体工程同时设计、同时施工、同时投入使用的“三同时”制度；要进一步优化设计，提高煤炭资源回收率，加强疏干水、煤矸石等资源综合利用。,
　　七、项目单位要严格遵守安全生产有关法律法规和规程规范，落实安全生产主体责任，建立健全管理制度，落实边坡防治、防灭火、防治水等安全措施，保证煤矿建设和生产期间安全生产。,
　　八、项目单位要严格执行国家有关招标投标的规定，项目的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料等采购要全部进行招标，招标方式为公开招标，招标组织形式为委托招标。,
　　九、项目单位要做好项目建设生产过程中征地、搬迁、生态保护等工作，妥善处理好项目建设与外部环境的关系，有效预防和化解可能产生的社会风险。,
　　十、核准项目的相关支持文件分别是新疆维吾尔自治区住房和城乡建设厅《建设项目选址意见书》（选字第650000201600009号）、国土资源部《关于新疆哈密大南湖矿区西区二号露天煤矿一期年产600万吨项目建设用地预审意见的复函》（国土资预审字〔2017〕120号）等。,
　　十一、如需对项目核准文件所规定的建设规模、重大技术方案等有关内容进行调整，请及时以书面形式向我委报告，并按照有关规定办理。,
　　十二、项目一期工程按600万吨/年进行产能登记公告，不得批小建大、超能力生产。移交生产后5年内不得通过生产能力核定扩大生产规模。后期建设手续按照有关规定办理。,
　　十三、本项目属未经核准擅自开工建设的违规煤矿，项目单位要深刻吸取教训，严格执行煤矿项目基本建设程序，杜绝此类行为再次发生，有关部门和单位要按规定进行处罚和问责。,
　　十四、请项目单位根据本核准文件，办理资源开采、安全生产等相关手续。,
　　请据此开展下一步工作。,国家发展改革委,
2018年3月1日"
